=== RESULTS ===

Algorithm:	Apriori
Count:		444

Finished in 2.13 seconds['<40h', '<=50K', 0.583348688655488, 0.8265883376849434]
['<=50K', '<40h', 0.583348688655488, 0.768406148867314]
['<40h', 'United-States', 0.6269270929304097, 0.888337684943429]
['<40h', 'White', 0.5852220379583564, 0.829242819843342]
['<40h', 'cl_0', 0.6780603157054235, 0.9607919930374238]
['cl_0', '<40h', 0.6780603157054235, 0.7112621609432382]
['<=50K', 'United-States', 0.6756034641606781, 0.8899271844660194]
['United-States', '<=50K', 0.6756034641606781, 0.7541652382584847]
['<=50K', 'White', 0.6356796265585652, 0.8373381877022654]
['White', '<=50K', 0.6356796265585652, 0.7441400632729365]
['<=50K', 'cl_0', 0.7362569866715803, 0.969822006472492]
['cl_0', '<=50K', 0.7362569866715803, 0.7723084852780104]
['Male', 'United-States', 0.5984890362999816, 0.8943552088113814]
['Male', 'White', 0.5888458939868558, 0.8799449288664525]
['Male', 'cl_0', 0.6338676985443155, 0.9472234970169803]
['United-States', 'White', 0.7868374178490265, 0.8783339046966061]
['White', 'United-States', 0.7868374178490265, 0.9210885821110153]
['United-States', 'cl_0', 0.8534795160002456, 0.9527254028111073]
['cl_0', 'United-States', 0.8534795160002456, 0.8952709232652535]
['White', 'cl_0', 0.8129107548676371, 0.9516105838366408]
['cl_0', 'White', 0.8129107548676371, 0.8527156755363701]
['<40h', 'cg_0', 0.6579141330385111, 0.9322454308093995]
['cg_0', '<40h', 0.6579141330385111, 0.7177124861804416]
['<=50K', 'cg_0', 0.7273816104661875, 0.9581310679611651]
['cg_0', '<=50K', 0.7273816104661875, 0.7934939193942846]
['Male', 'cg_0', 0.6050304035378662, 0.9041303350160624]
['United-States', 'cg_0', 0.8199434924144708, 0.9152896811792938]
['cg_0', 'United-States', 0.8199434924144708, 0.894468826426346]
['White', 'cg_0', 0.7802653399668324, 0.9133951682484901]
['cg_0', 'White', 0.7802653399668324, 0.8511842942812154]
['cg_0', 'cl_0', 0.8700325532829679, 0.9491105229655935]
['cl_0', 'cg_0', 0.8700325532829679, 0.9126344952000516]
['<40h', 'Private', 0.49990786806707205, 0.708355091383812]
['Private', '<40h', 0.49990786806707205, 0.7172188931970391]
['<=50K', 'Private', 0.5445918555371292, 0.7173543689320389]
['Private', '<=50K', 0.5445918555371292, 0.7813271060979908]
['Private', 'United-States', 0.6183588231681101, 0.8871607331688404]
['Private', 'White', 0.5959093421779988, 0.8549524145223828]
['Private', 'cg_0', 0.6438179473005343, 0.9236869933027846]
['cg_0', 'Private', 0.6438179473005343, 0.7023350866025663]
['Private', 'cl_0', 0.6668509305325225, 0.9567324638702855]
[('Male', 'White'), ('United-States', 'cg_0'), 0.4877771635648916, 0.8283613226243872]
[('Male', 'cg_0'), ('United-States', 'White'), 0.4877771635648916, 0.8062027308258464]
['Male', ('United-States', 'White', 'cg_0'), 0.4877771635648916, 0.7289123451124369]
[('Male', 'United-States', 'cg_0'), 'cl_0', 0.5081383207419692, 0.9408620493574434]
[('Male', 'United-States', 'cl_0'), 'cg_0', 0.5081383207419692, 0.8968993928881179]
[('Male', 'cg_0', 'cl_0'), 'United-States', 0.5081383207419692, 0.8919195730688373]
[('Male', 'United-States'), ('cg_0', 'cl_0'), 0.5081383207419692, 0.8490353037766831]
[('Male', 'cg_0'), ('United-States', 'cl_0'), 0.5081383207419692, 0.8398558448809705]
[('Male', 'cl_0'), ('United-States', 'cg_0'), 0.5081383207419692, 0.8016472868217054]
['Male', ('United-States', 'cg_0', 'cl_0'), 0.5081383207419692, 0.75933914639743]
[('Male', 'White', 'cg_0'), 'cl_0', 0.49917081260364843, 0.9402985074626866]
[('Male', 'White', 'cl_0'), 'cg_0', 0.49917081260364843, 0.895932091279903]
[('Male', 'cg_0', 'cl_0'), 'White', 0.49917081260364843, 0.8761791817152714]
[('Male', 'White'), ('cg_0', 'cl_0'), 0.49917081260364843, 0.8477104412224888]
[('Male', 'cg_0'), ('White', 'cl_0'), 0.49917081260364843, 0.8250342622201918]
[('Male', 'cl_0'), ('White', 'cg_0'), 0.49917081260364843, 0.7875]
['Male', ('White', 'cg_0', 'cl_0'), 0.49917081260364843, 0.7459385039008719]
[('United-States', 'White', 'cg_0'), 'cl_0', 0.6786131073029912, 0.9455689160854123]
[('United-States', 'White', 'cl_0'), 'cg_0', 0.6786131073029912, 0.9075116021191836]
[('United-States', 'cg_0', 'cl_0'), 'White', 0.6786131073029912, 0.8727093206951027]
[('White', 'cg_0', 'cl_0'), 'United-States', 0.6786131073029912, 0.9183741324134491]
[('United-States', 'White'), ('cg_0', 'cl_0'), 0.6786131073029912, 0.8624565785878772]
[('United-States', 'cg_0'), ('White', 'cl_0'), 0.6786131073029912, 0.8276339937825387]
[('United-States', 'cl_0'), ('White', 'cg_0'), 0.6786131073029912, 0.7951135259616423]
[('White', 'cg_0'), ('United-States', 'cl_0'), 0.6786131073029912, 0.8697209430471917]
[('White', 'cl_0'), ('United-States', 'cg_0'), 0.6786131073029912, 0.8347941065357007]
[('cg_0', 'cl_0'), ('United-States', 'White'), 0.6786131073029912, 0.779985880691846]
['United-States', ('White', 'cg_0', 'cl_0'), 0.6786131073029912, 0.7575248543023655]
['White', ('United-States', 'cg_0', 'cl_0'), 0.6786131073029912, 0.7943989071038251]
['cg_0', ('United-States', 'White', 'cl_0'), 0.6786131073029912, 0.7402928071292171]
['cl_0', ('United-States', 'White', 'cg_0'), 0.6786131073029912, 0.7118420204883706]
[('<=50K', 'Private', 'United-States'), 'cl_0', 0.46471346968859406, 0.9703732204694113]
[('<=50K', 'Private', 'cl_0'), 'United-States', 0.46471346968859406, 0.8784905660377359]
[('<=50K', 'United-States', 'cl_0'), 'Private', 0.46471346968859406, 0.7095896834701055]
[('Private', 'United-States', 'cl_0'), '<=50K', 0.46471346968859406, 0.7866091386390809]
[('<=50K', 'Private'), ('United-States', 'cl_0'), 0.46471346968859406, 0.8533243106073423]
[('Private', 'United-States'), ('<=50K', 'cl_0'), 0.46471346968859406, 0.7515271914576608]
[('<=50K', 'Private', 'cg_0'), 'cl_0', 0.5076162397887107, 0.9701825438750954]
[('<=50K', 'Private', 'cl_0'), 'cg_0', 0.5076162397887107, 0.9595936139332366]
[('<=50K', 'cg_0', 'cl_0'), 'Private', 0.5076162397887107, 0.7205632329220978]
[('Private', 'cg_0', 'cl_0'), '<=50K', 0.5076162397887107, 0.8271944750275247]
[('<=50K', 'Private'), ('cg_0', 'cl_0'), 0.5076162397887107, 0.9321039869170473]
[('Private', 'cg_0'), ('<=50K', 'cl_0'), 0.5076162397887107, 0.7884468612860142]
[('Private', 'cl_0'), ('<=50K', 'cg_0'), 0.5076162397887107, 0.761213963341623]
['Private', ('<=50K', 'cg_0', 'cl_0'), 0.5076162397887107, 0.7282781106802961]
[('Private', 'United-States', 'White'), 'cg_0', 0.5003378170874025, 0.9189981949458483]
[('Private', 'United-States', 'cg_0'), 'White', 0.5003378170874025, 0.8778963250350253]
[('Private', 'White', 'cg_0'), 'United-States', 0.5003378170874025, 0.9120017913121361]
[('Private', 'United-States'), ('White', 'cg_0'), 0.5003378170874025, 0.8091383163645394]
[('Private', 'White'), ('United-States', 'cg_0'), 0.5003378170874025, 0.8396206967635539]
[('Private', 'cg_0'), ('United-States', 'White'), 0.5003378170874025, 0.7771417668383896]
['Private', ('United-States', 'White', 'cg_0'), 0.5003378170874025, 0.7178357419809658]
[('Private', 'United-States', 'White'), 'cl_0', 0.518856335605921, 0.9530121841155235]
[('Private', 'United-States', 'cl_0'), 'White', 0.518856335605921, 0.8782554452357436]
[('Private', 'White', 'cl_0'), 'United-States', 0.518856335605921, 0.9118631260794473]
[('Private', 'United-States'), ('White', 'cl_0'), 0.518856335605921, 0.8390861683635461]
[('Private', 'White'), ('United-States', 'cl_0'), 0.518856335605921, 0.8706967635539065]
[('Private', 'cl_0'), ('United-States', 'White'), 0.518856335605921, 0.7780694482822142]
['Private', ('United-States', 'White', 'cl_0'), 0.518856335605921, 0.7444043003172365]
[('Private', 'United-States', 'cg_0'), 'cl_0', 0.542349978502549, 0.951611164996228]
[('Private', 'United-States', 'cl_0'), 'cg_0', 0.542349978502549, 0.9180225606903363]
[('Private', 'cg_0', 'cl_0'), 'United-States', 0.542349978502549, 0.8837954158742869]
[('Private', 'United-States'), ('cg_0', 'cl_0'), 0.542349978502549, 0.8770797119443755]
[('Private', 'cg_0'), ('United-States', 'cl_0'), 0.542349978502549, 0.8423964892196146]
[('Private', 'cl_0'), ('United-States', 'cg_0'), 0.542349978502549, 0.8133001750023027]
['Private', ('United-States', 'cg_0', 'cl_0'), 0.542349978502549, 0.7781106802960874]
[('Private', 'White', 'cg_0'), 'cl_0', 0.5217124255266875, 0.9509628302731751]
[('Private', 'White', 'cl_0'), 'cg_0', 0.5217124255266875, 0.9168825561312608]
[('Private', 'cg_0', 'cl_0'), 'White', 0.5217124255266875, 0.8501651486337704]
[('White', 'cg_0', 'cl_0'), 'Private', 0.5217124255266875, 0.7060388180042392]
[('Private', 'White'), ('cg_0', 'cl_0'), 0.5217124255266875, 0.8754895897753041]
[('Private', 'cg_0'), ('White', 'cl_0'), 0.5217124255266875, 0.8103415378744514]
[('Private', 'cl_0'), ('White', 'cg_0'), 0.5217124255266875, 0.782352399373676]
['Private', ('White', 'cg_0', 'cl_0'), 0.5217124255266875, 0.7485019386676066]
[('<40h', '<=50K', 'United-States', 'cg_0'), 'cl_0', 0.48059087279651125, 0.9698791447164549]
[('<40h', '<=50K', 'United-States', 'cl_0'), 'cg_0', 0.48059087279651125, 0.9583562986098353]
[('<40h', '<=50K', 'cg_0', 'cl_0'), 'United-States', 0.48059087279651125, 0.8841742471326064]
[('<40h', 'United-States', 'cg_0', 'cl_0'), '<=50K', 0.48059087279651125, 0.8606390584612]
[('<=50K', 'United-States', 'cg_0', 'cl_0'), '<40h', 0.48059087279651125, 0.7673335294694518]
[('<40h', '<=50K', 'United-States'), ('cg_0', 'cl_0'), 0.48059087279651125, 0.9306571513529587]
[('<40h', '<=50K', 'cg_0'), ('United-States', 'cl_0'), 0.48059087279651125, 0.8578084744833635]
[('<40h', '<=50K', 'cl_0'), ('United-States', 'cg_0'), 0.48059087279651125, 0.848138312286597]
[('<40h', 'United-States', 'cg_0'), ('<=50K', 'cl_0'), 0.48059087279651125, 0.8236749302594873]
[('<40h', 'United-States', 'cl_0'), ('<=50K', 'cg_0'), 0.48059087279651125, 0.7984998469231555]
[('<40h', 'cg_0', 'cl_0'), ('<=50K', 'United-States'), 0.48059087279651125, 0.7625475099892798]
[('<=50K', 'United-States', 'cg_0'), ('<40h', 'cl_0'), 0.48059087279651125, 0.7427852667552687]
[('<=50K', 'United-States', 'cl_0'), ('<40h', 'cg_0'), 0.48059087279651125, 0.7338335287221571]
[('<40h', '<=50K'), ('United-States', 'cg_0', 'cl_0'), 0.48059087279651125, 0.823848381152935]
[('<40h', 'United-States'), ('<=50K', 'cg_0', 'cl_0'), 0.48059087279651125, 0.7665817576173214]
[('<40h', 'cg_0'), ('<=50K', 'United-States', 'cl_0'), 0.48059087279651125, 0.7304765905802175]
[('<40h', 'cl_0'), ('<=50K', 'United-States', 'cg_0'), 0.48059087279651125, 0.7087730422573486]
[('<=50K', 'United-States'), ('<40h', 'cg_0', 'cl_0'), 0.48059087279651125, 0.7113505159325424]
[('<40h', 'United-States', 'White', 'cg_0'), 'cl_0', 0.4741416374915546, 0.9549109351806037]
[('<40h', 'United-States', 'White', 'cl_0'), 'cg_0', 0.4741416374915546, 0.9247125059894585]
[('<40h', 'United-States', 'cg_0', 'cl_0'), 'White', 0.4741416374915546, 0.8490898091624044]
[('<40h', 'White', 'cg_0', 'cl_0'), 'United-States', 0.4741416374915546, 0.9111779981114259]
[('<40h', 'United-States', 'White'), ('cg_0', 'cl_0'), 0.4741416374915546, 0.886025824964132]
[('<40h', 'United-States', 'cg_0'), ('White', 'cl_0'), 0.4741416374915546, 0.8126217169324701]
[('<40h', 'United-States', 'cl_0'), ('White', 'cg_0'), 0.4741416374915546, 0.7877844678028371]
[('<40h', 'White', 'cg_0'), ('United-States', 'cl_0'), 0.4741416374915546, 0.8716197143341049]
[('<40h', 'White', 'cl_0'), ('United-States', 'cg_0'), 0.4741416374915546, 0.8442609504019248]
[('<40h', 'cg_0', 'cl_0'), ('United-States', 'White'), 0.4741416374915546, 0.7523145892213234]
[('<40h', 'United-States'), ('White', 'cg_0', 'cl_0'), 0.4741416374915546, 0.7562946997158813]
[('<40h', 'White'), ('United-States', 'cg_0', 'cl_0'), 0.4741416374915546, 0.8101910159529807]
[('<40h', 'cg_0'), ('United-States', 'White', 'cl_0'), 0.4741416374915546, 0.7206740419175652]
[('<=50K', 'United-States', 'White', 'cg_0'), 'cl_0', 0.537221300902893, 0.9666243023705586]
[('<=50K', 'United-States', 'White', 'cl_0'), 'cg_0', 0.537221300902893, 0.9552230655818271]
[('<=50K', 'United-States', 'cg_0', 'cl_0'), 'White', 0.537221300902893, 0.8577522800823771]
[('<=50K', 'White', 'cg_0', 'cl_0'), 'United-States', 0.537221300902893, 0.9129481759824644]
[('United-States', 'White', 'cg_0', 'cl_0'), '<=50K', 0.537221300902893, 0.79164592478617]
[('<=50K', 'United-States', 'White'), ('cg_0', 'cl_0'), 0.537221300902893, 0.9247237934133319]
[('<=50K', 'United-States', 'cg_0'), ('White', 'cl_0'), 0.537221300902893, 0.8303113726979305]
[('<=50K', 'United-States', 'cl_0'), ('White', 'cg_0'), 0.537221300902893, 0.8203048065650644]
[('<=50K', 'White', 'cg_0'), ('United-States', 'cl_0'), 0.537221300902893, 0.8834402302913994]
[('<=50K', 'White', 'cl_0'), ('United-States', 'cg_0'), 0.537221300902893, 0.8720773717533277]
[('<=50K', 'cg_0', 'cl_0'), ('United-States', 'White'), 0.537221300902893, 0.7625877326823314]
[('United-States', 'White', 'cg_0'), ('<=50K', 'cl_0'), 0.537221300902893, 0.7485557790234927]
[('United-States', 'White', 'cl_0'), ('<=50K', 'cg_0'), 0.537221300902893, 0.7184278615138199]
[('White', 'cg_0', 'cl_0'), ('<=50K', 'United-States'), 0.537221300902893, 0.7270271393541415]
[('<=50K', 'United-States'), ('White', 'cg_0', 'cl_0'), 0.537221300902893, 0.7951725078412655]
[('<=50K', 'White'), ('United-States', 'cg_0', 'cl_0'), 0.537221300902893, 0.8451132904971255]
[('<=50K', 'cg_0'), ('United-States', 'White', 'cl_0'), 0.537221300902893, 0.7385687143761874]
[('<=50K', 'cl_0'), ('United-States', 'White', 'cg_0'), 0.537221300902893, 0.7296654709268374]
['<=50K', ('United-States', 'White', 'cg_0', 'cl_0'), 0.537221300902893, 0.7076456310679612]
[('Private', 'United-States', 'White', 'cg_0'), 'cl_0', 0.47475585037774093, 0.9488706113429904]
[('Private', 'United-States', 'White', 'cl_0'), 'cg_0', 0.47475585037774093, 0.9150044391831903]
[('Private', 'United-States', 'cg_0', 'cl_0'), 'White', 0.47475585037774093, 0.8753680634201586]
[('Private', 'White', 'cg_0', 'cl_0'), 'United-States', 0.47475585037774093, 0.9099952907935013]
[('Private', 'United-States', 'White'), ('cg_0', 'cl_0'), 0.47475585037774093, 0.8720103790613718]
[('Private', 'United-States', 'cg_0'), ('White', 'cl_0'), 0.47475585037774093, 0.8330100226317491]
[('Private', 'United-States', 'cl_0'), ('White', 'cg_0'), 0.47475585037774093, 0.8036076311275147]
[('Private', 'White', 'cg_0'), ('United-States', 'cl_0'), 0.47475585037774093, 0.865371697268249]
[('Private', 'White', 'cl_0'), ('United-States', 'cg_0'), 0.47475585037774093, 0.8343588082901554]
[('Private', 'cg_0', 'cl_0'), ('United-States', 'White'), 0.47475585037774093, 0.7736462816534881]
[('Private', 'United-States'), ('White', 'cg_0', 'cl_0'), 0.47475585037774093, 0.7677675689098584]
[('Private', 'White'), ('United-States', 'cg_0', 'cl_0'), 0.47475585037774093, 0.796691403834261]
[('Private', 'cg_0'), ('United-States', 'White', 'cl_0'), 0.47475585037774093, 0.7374069834001145]
[('Private', 'cl_0'), ('United-States', 'White', 'cg_0'), 0.47475585037774093, 0.7119369991710417]
