=== RESULTS ===

Algorithm:	Apriori
Count:		25507

Finished in 34.79 seconds['35-50y', '<40h', 0.21531232725262575, 0.6273264137437365]
[('United-States', 'cl_0'), ('Married-civ-spouse', 'cg_0'), 0.333302622689024, 0.3905221114749379]
[('cg_0', 'cl_0'), ('Married-civ-spouse', 'United-States'), 0.333302622689024, 0.3830921284857042]
['Married-civ-spouse', ('United-States', 'cg_0', 'cl_0'), 0.333302622689024, 0.7246928418803419]
['United-States', ('Married-civ-spouse', 'cg_0', 'cl_0'), 0.333302622689024, 0.37206033596160437]
['cg_0', ('Married-civ-spouse', 'United-States', 'cl_0'), 0.333302622689024, 0.363596770411069]
['cl_0', ('Married-civ-spouse', 'United-States', 'cg_0'), 0.333302622689024, 0.34962309129566393]
[('Married-civ-spouse', 'White', 'cg_0'), 'cl_0', 0.3342239420183035, 0.9257400476352501]
[('Married-civ-spouse', 'White', 'cl_0'), 'cg_0', 0.3342239420183035, 0.8680705112865917]
[('Married-civ-spouse', 'cg_0', 'cl_0'), 'White', 0.3342239420183035, 0.892122305106976]
[('White', 'cg_0', 'cl_0'), 'Married-civ-spouse', 0.3342239420183035, 0.45230871534848927]
[('Married-civ-spouse', 'White'), ('cg_0', 'cl_0'), 0.3342239420183035, 0.811558538404176]
[('Married-civ-spouse', 'cg_0'), ('White', 'cl_0'), 0.3342239420183035, 0.8271642471688074]
[('Married-civ-spouse', 'cl_0'), ('White', 'cg_0'), 0.3342239420183035, 0.7763589670423741]
[('White', 'cg_0'), ('Married-civ-spouse', 'cl_0'), 0.3342239420183035, 0.42834651867595547]
[('White', 'cl_0'), ('Married-civ-spouse', 'cg_0'), 0.3342239420183035, 0.41114469210426896]
[('cg_0', 'cl_0'), ('Married-civ-spouse', 'White'), 0.3342239420183035, 0.38415107659724673]
['Married-civ-spouse', ('White', 'cg_0', 'cl_0'), 0.3342239420183035, 0.7266960470085471]
['White', ('Married-civ-spouse', 'cg_0', 'cl_0'), 0.3342239420183035, 0.3912496404946793]
['cg_0', ('Married-civ-spouse', 'White', 'cl_0'), 0.3342239420183035, 0.3646018292070086]
['cl_0', ('Married-civ-spouse', 'White', 'cg_0'), 0.3342239420183035, 0.3505895238708846]
[('United-States', 'White', 'cg_0'), 'cl_0', 0.6786131073029912, 0.9455689160854123]
[('United-States', 'White', 'cl_0'), 'cg_0', 0.6786131073029912, 0.9075116021191836]
[('United-States', 'cg_0', 'cl_0'), 'White', 0.6786131073029912, 0.8727093206951027]
[('White', 'cg_0', 'cl_0'), 'United-States', 0.6786131073029912, 0.9183741324134491]
[('United-States', 'White'), ('cg_0', 'cl_0'), 0.6786131073029912, 0.8624565785878772]
[('United-States', 'cg_0'), ('White', 'cl_0'), 0.6786131073029912, 0.8276339937825387]
[('United-States', 'cl_0'), ('White', 'cg_0'), 0.6786131073029912, 0.7951135259616423]
[('White', 'cg_0'), ('United-States', 'cl_0'), 0.6786131073029912, 0.8697209430471917]
[('White', 'cl_0'), ('United-States', 'cg_0'), 0.6786131073029912, 0.8347941065357007]
[('cg_0', 'cl_0'), ('United-States', 'White'), 0.6786131073029912, 0.779985880691846]
['United-States', ('White', 'cg_0', 'cl_0'), 0.6786131073029912, 0.7575248543023655]
['White', ('United-States', 'cg_0', 'cl_0'), 0.6786131073029912, 0.7943989071038251]
['cg_0', ('United-States', 'White', 'cl_0'), 0.6786131073029912, 0.7402928071292171]
['cl_0', ('United-States', 'White', 'cg_0'), 0.6786131073029912, 0.7118420204883706]
[('35-50y', 'Private', 'United-States'), 'White', 0.18110066949204595, 0.8815966512184183]
[('35-50y', 'Private', 'White'), 'United-States', 0.18110066949204595, 0.9182497664279041]
[('35-50y', 'United-States', 'White'), 'Private', 0.18110066949204595, 0.6690492398457]
[('Private', 'United-States', 'White'), '35-50y', 0.18110066949204595, 0.3326376353790614]
[('35-50y', 'Private'), ('United-States', 'White'), 0.18110066949204595, 0.7837586390217969]
[('35-50y', 'United-States'), ('Private', 'White'), 0.18110066949204595, 0.5884055078826581]
[('35-50y', 'White'), ('Private', 'United-States'), 0.18110066949204595, 0.6181989726386413]
[('Private', 'White'), ('35-50y', 'United-States'), 0.18110066949204595, 0.3039064110492682]
['35-50y', ('Private', 'United-States', 'White'), 0.18110066949204595, 0.5276485325697924]
[('35-50y', 'Private', 'United-States'), 'cg_0', 0.18392604876850316, 0.8953505755718344]
[('35-50y', 'Private', 'cg_0'), 'United-States', 0.18392604876850316, 0.8848995271867612]
[('35-50y', 'United-States', 'cg_0'), 'Private', 0.18392604876850316, 0.6698355888603065]
[('Private', 'United-States', 'cg_0'), '35-50y', 0.18392604876850316, 0.3227179652979847]
[('35-50y', 'Private'), ('United-States', 'cg_0'), 0.18392604876850316, 0.7959861775651249]
[('35-50y', 'United-States'), ('Private', 'cg_0'), 0.18392604876850316, 0.5975853123129116]
[('35-50y', 'cg_0'), ('Private', 'United-States'), 0.18392604876850316, 0.5986006996501749]
['35-50y', ('Private', 'United-States', 'cg_0'), 0.18392604876850316, 0.5358804581245526]
[('35-50y', 'Private', 'United-States'), 'cl_0', 0.19384558688041276, 0.943638809986545]
[('35-50y', 'Private', 'cl_0'), 'United-States', 0.19384558688041276, 0.887888591925728]
[('35-50y', 'United-States', 'cl_0'), 'Private', 0.19384558688041276, 0.6694951209164192]
[('Private', 'United-States', 'cl_0'), '35-50y', 0.19384558688041276, 0.3281176898684826]
[('35-50y', 'Private'), ('United-States', 'cl_0'), 0.19384558688041276, 0.8389154704944178]
[('35-50y', 'United-States'), ('Private', 'cl_0'), 0.19384558688041276, 0.6298144083017362]
[('35-50y', 'cl_0'), ('Private', 'United-States'), 0.19384558688041276, 0.6000570396425515]
[('Private', 'United-States'), ('35-50y', 'cl_0'), 0.19384558688041276, 0.3134839831139806]
['35-50y', ('Private', 'United-States', 'cl_0'), 0.19384558688041276, 0.5647816750178954]
[('35-50y', 'Private', 'White'), 'cg_0', 0.17661691542288557, 0.8955154157583307]
[('35-50y', 'Private', 'cg_0'), 'White', 0.17661691542288557, 0.8497340425531915]
[('35-50y', 'White', 'cg_0'), 'Private', 0.17661691542288557, 0.6760315034677324]
[('Private', 'White', 'cg_0'), '35-50y', 0.17661691542288557, 0.32193237796686075]
[('35-50y', 'Private'), ('White', 'cg_0'), 0.17661691542288557, 0.7643540669856459]
[('35-50y', 'White'), ('Private', 'cg_0'), 0.17661691542288557, 0.6028933850508439]
[('35-50y', 'cg_0'), ('Private', 'White'), 0.17661691542288557, 0.5748125937031484]
['35-50y', ('Private', 'White', 'cg_0'), 0.17661691542288557, 0.5145848246241947]
[('35-50y', 'Private', 'White'), 'cl_0', 0.18567655549413425, 0.941451261289318]
[('35-50y', 'Private', 'cl_0'), 'White', 0.18567655549413425, 0.8504712336474891]
[('35-50y', 'White', 'cl_0'), 'Private', 0.18567655549413425, 0.6759838998211091]
[('Private', 'White', 'cl_0'), '35-50y', 0.18567655549413425, 0.32631692573402415]
[('35-50y', 'Private'), ('White', 'cl_0'), 0.18567655549413425, 0.8035619351408825]
[('35-50y', 'White'), ('Private', 'cl_0'), 0.18567655549413425, 0.6338190586015305]
[('35-50y', 'cl_0'), ('Private', 'White'), 0.18567655549413425, 0.5747694647780207]
[('Private', 'White'), ('35-50y', 'cl_0'), 0.18567655549413425, 0.3115852401566687]
['35-50y', ('Private', 'White', 'cl_0'), 0.18567655549413425, 0.5409806728704366]
[('35-50y', 'Private', 'cg_0'), 'cl_0', 0.19510472329709477, 0.9386820330969267]
[('35-50y', 'Private', 'cl_0'), 'cg_0', 0.19510472329709477, 0.8936559291039528]
[('35-50y', 'cg_0', 'cl_0'), 'Private', 0.19510472329709477, 0.6796106118955927]
[('Private', 'cg_0', 'cl_0'), '35-50y', 0.19510472329709477, 0.31793614252827546]
[('35-50y', 'Private'), ('cg_0', 'cl_0'), 0.19510472329709477, 0.8443646996278575]
[('35-50y', 'cg_0'), ('Private', 'cl_0'), 0.19510472329709477, 0.6349825087456272]
[('35-50y', 'cl_0'), ('Private', 'cg_0'), 0.19510472329709477, 0.6039547485502424]
[('Private', 'cg_0'), ('35-50y', 'cl_0'), 0.19510472329709477, 0.30304331234497234]
['35-50y', ('Private', 'cg_0', 'cl_0'), 0.19510472329709477, 0.5684502505368647]
[('<40h', '<=50K', 'HS-grad'), 'Private', 0.16000245685154474, 0.763146330745569]
[('<40h', '<=50K', 'Private'), 'HS-grad', 0.16000245685154474, 0.37759095521090014]
[('<40h', 'HS-grad', 'Private'), '<=50K', 0.16000245685154474, 0.889533891070514]
[('<=50K', 'HS-grad', 'Private'), '<40h', 0.16000245685154474, 0.782164840114097]
[('<40h', 'HS-grad'), ('<=50K', 'Private'), 0.16000245685154474, 0.6677774929505255]
[('<40h', 'Private'), ('<=50K', 'HS-grad'), 0.16000245685154474, 0.3200638899127657]
[('<=50K', 'HS-grad'), ('<40h', 'Private'), 0.16000245685154474, 0.5903013822796284]
[('HS-grad', 'Private'), ('<40h', '<=50K'), 0.16000245685154474, 0.6696658097686375]
['HS-grad', ('<40h', '<=50K', 'Private'), 0.16000245685154474, 0.49614322445481385]
[('<40h', '<=50K', 'HS-grad'), 'United-States', 0.19200294822185368, 0.9157755968946829]
[('<40h', '<=50K', 'United-States'), 'HS-grad', 0.19200294822185368, 0.3718108831400535]
[('<40h', 'HS-grad', 'United-States'), '<=50K', 0.19200294822185368, 0.871723368655884]
[('<=50K', 'HS-grad', 'United-States'), '<40h', 0.19200294822185368, 0.7700455721147924]
[('<40h', '<=50K'), ('HS-grad', 'United-States'), 0.19200294822185368, 0.32913924717030796]
[('<40h', 'HS-grad'), ('<=50K', 'United-States'), 0.19200294822185368, 0.8013329915406306]
[('<40h', 'United-States'), ('<=50K', 'HS-grad'), 0.19200294822185368, 0.3062604095228765]
[('<=50K', 'HS-grad'), ('<40h', 'United-States'), 0.19200294822185368, 0.708361658735554]
[('HS-grad', 'United-States'), ('<40h', '<=50K'), 0.19200294822185368, 0.6444032158317873]
['HS-grad', ('<40h', '<=50K', 'United-States'), 0.19200294822185368, 0.5953718693457766]
[('<40h', '<=50K', 'HS-grad'), 'White', 0.17035194398378478, 0.8125091548264245]
[('<40h', '<=50K', 'White'), 'HS-grad', 0.17035194398378478, 0.3570417095777549]
[('<40h', 'HS-grad', 'White'), '<=50K', 0.17035194398378478, 0.8626749611197512]
[('<=50K', 'HS-grad', 'White'), '<40h', 0.17035194398378478, 0.7534637326813366]
[('<40h', 'HS-grad'), ('<=50K', 'White'), 0.17035194398378478, 0.7109715457574981]
[('<=50K', 'HS-grad'), ('<40h', 'White'), 0.17035194398378478, 0.6284840244731476]
[('HS-grad', 'White'), ('<40h', '<=50K'), 0.17035194398378478, 0.6229784366576819]
['HS-grad', ('<40h', '<=50K', 'White'), 0.17035194398378478, 0.5282354061517951]
[('<40h', '<=50K', 'HS-grad'), 'cg_0', 0.20063263927277195, 0.9569356964991944]
[('<40h', '<=50K', 'cg_0'), 'HS-grad', 0.20063263927277195, 0.35810995998465167]
[('<40h', 'HS-grad', 'cg_0'), '<=50K', 0.20063263927277195, 0.8918771331058021]
[('<=50K', 'HS-grad', 'cg_0'), '<40h', 0.20063263927277195, 0.7735022495856027]
[('<40h', '<=50K'), ('HS-grad', 'cg_0'), 0.20063263927277195, 0.34393261384574886]
[('<40h', 'HS-grad'), ('<=50K', 'cg_0'), 0.20063263927277195, 0.8373493975903614]
[('<40h', 'cg_0'), ('<=50K', 'HS-grad'), 0.20063263927277195, 0.3049526210147972]
[('<=50K', 'HS-grad'), ('<40h', 'cg_0'), 0.20063263927277195, 0.7401994108316338]
[('HS-grad', 'cg_0'), ('<40h', '<=50K'), 0.20063263927277195, 0.6654104705642697]
['HS-grad', ('<40h', '<=50K', 'cg_0'), 0.20063263927277195, 0.6221312255975622]
[('<40h', '<=50K', 'HS-grad'), 'cl_0', 0.20379583563663164, 0.9720228504467555]
[('<40h', '<=50K', 'cl_0'), 'HS-grad', 0.20379583563663164, 0.35965530323559697]
[('<40h', 'HS-grad', 'cl_0'), '<=50K', 0.20379583563663164, 0.880106100795756]
[('<=50K', 'HS-grad', 'cl_0'), '<40h', 0.20379583563663164, 0.7749620460119118]
[('<40h', '<=50K'), ('HS-grad', 'cl_0'), 0.20379583563663164, 0.3493550934456436]
[('<40h', 'HS-grad'), ('<=50K', 'cl_0'), 0.20379583563663164, 0.8505511407331453]
[('<40h', 'cl_0'), ('<=50K', 'HS-grad'), 0.20379583563663164, 0.30055709044793694]
[('<=50K', 'HS-grad'), ('<40h', 'cl_0'), 0.20379583563663164, 0.751869476546567]
[('HS-grad', 'cl_0'), ('<40h', '<=50K'), 0.20379583563663164, 0.6571598336304219]
['HS-grad', ('<40h', '<=50K', 'cl_0'), 0.20379583563663164, 0.63193981525569]
[('<40h', '<=50K', 'Male'), 'Private', 0.2382224679073767, 0.719907192575406]
[('<40h', '<=50K', 'Private'), 'Male', 0.2382224679073767, 0.5621829250616032]
[('<40h', 'Male', 'Private'), '<=50K', 0.2382224679073767, 0.7959979476654695]
[('<=50K', 'Male', 'Private'), '<40h', 0.2382224679073767, 0.7244793125992341]
[('<40h', '<=50K'), ('Male', 'Private'), 0.2382224679073767, 0.40837062384838113]
[('<40h', 'Male'), ('<=50K', 'Private'), 0.2382224679073767, 0.5560174897856784]
[('<40h', 'Private'), ('<=50K', 'Male'), 0.2382224679073767, 0.4765327435802924]
[('<=50K', 'Male'), ('<40h', 'Private'), 0.2382224679073767, 0.5127578001057641]
[('<=50K', 'Private'), ('<40h', 'Male'), 0.2382224679073767, 0.4374330344555349]
[('Male', 'Private'), ('<40h', '<=50K'), 0.2382224679073767, 0.519071199143469]
['<40h', ('<=50K', 'Male', 'Private'), 0.2382224679073767, 0.33755439512619667]
['<=50K', ('<40h', 'Male', 'Private'), 0.2382224679073767, 0.313794498381877]
['Male', ('<40h', '<=50K', 'Private'), 0.2382224679073767, 0.3559889857732905]
['Private', ('<40h', '<=50K', 'Male'), 0.2382224679073767, 0.34177828692280576]
[('<40h', '<=50K', 'Not-in-family'), 'cg_0', 0.16249001904059948, 0.9648067104303428]
[('<40h', 'Not-in-family', 'cg_0'), '<=50K', 0.16249001904059948, 0.9559168925022583]
[('<=50K', 'Not-in-family', 'cg_0'), '<40h', 0.16249001904059948, 0.7396896407101915]
[('<40h', 'Not-in-family'), ('<=50K', 'cg_0'), 0.16249001904059948, 0.906148313067306]
[('<=50K', 'Not-in-family'), ('<40h', 'cg_0'), 0.16249001904059948, 0.7102966841186736]
[('Not-in-family', 'cg_0'), ('<40h', '<=50K'), 0.16249001904059948, 0.6817420435510888]
['Not-in-family', ('<40h', '<=50K', 'cg_0'), 0.16249001904059948, 0.6370860927152318]
[('<40h', '<=50K', 'Private'), 'United-States', 0.3699711319943492, 0.8730975503696188]
[('<40h', '<=50K', 'United-States'), 'Private', 0.3699711319943492, 0.7164436515016355]
[('<40h', 'Private', 'United-States'), '<=50K', 0.3699711319943492, 0.8440411966650319]
[('<=50K', 'Private', 'United-States'), '<40h', 0.3699711319943492, 0.7725407207900474]
[('<40h', '<=50K'), ('Private', 'United-States'), 0.3699711319943492, 0.6342195314556462]
[('<40h', 'Private'), ('<=50K', 'United-States'), 0.3699711319943492, 0.7400786337387886]
[('<40h', 'United-States'), ('<=50K', 'Private'), 0.3699711319943492, 0.5901342216126187]
[('<=50K', 'Private'), ('<40h', 'United-States'), 0.3699711319943492, 0.6793548750916371]
[('<=50K', 'United-States'), ('<40h', 'Private'), 0.3699711319943492, 0.5476158007182145]
[('Private', 'United-States'), ('<40h', '<=50K'), 0.3699711319943492, 0.5983113980630742]
['<40h', ('<=50K', 'Private', 'United-States'), 0.3699711319943492, 0.5242384682332463]
['<=50K', ('<40h', 'Private', 'United-States'), 0.3699711319943492, 0.4873381877022654]
['Private', ('<40h', '<=50K', 'United-States'), 0.3699711319943492, 0.5307983785689108]
['United-States', ('<40h', '<=50K', 'Private'), 0.3699711319943492, 0.41299280082276313]
[('<40h', '<=50K', 'Private'), 'White', 0.3479208893802592, 0.8210610233367155]
[('<40h', '<=50K', 'White'), 'Private', 0.3479208893802592, 0.7292095777548918]
[('<40h', 'Private', 'White'), '<=50K', 0.3479208893802592, 0.8373863552368985]
[('<=50K', 'Private', 'White'), '<40h', 0.3479208893802592, 0.7617670790747714]
[('<40h', '<=50K'), ('Private', 'White'), 0.3479208893802592, 0.5964201105554093]
[('<40h', 'Private'), ('<=50K', 'White'), 0.3479208893802592, 0.6959700208870868]
[('<40h', 'White'), ('<=50K', 'Private'), 0.3479208893802592, 0.5945109151973131]
[('<=50K', 'Private'), ('<40h', 'White'), 0.3479208893802592, 0.6388653922066204]
[('<=50K', 'White'), ('<40h', 'Private'), 0.3479208893802592, 0.5473211266244746]
[('Private', 'White'), ('<40h', '<=50K'), 0.3479208893802592, 0.5838486909915481]
['<40h', ('<=50K', 'Private', 'White'), 0.3479208893802592, 0.492993907745866]
['<=50K', ('<40h', 'Private', 'White'), 0.3479208893802592, 0.4582928802588997]
['Private', ('<40h', '<=50K', 'White'), 0.3479208893802592, 0.49916284807895667]
['White', ('<40h', '<=50K', 'Private'), 0.3479208893802592, 0.4072835777969514]
[('<40h', '<=50K', 'Private'), 'cg_0', 0.40808304158221237, 0.9630381214668793]
[('<40h', '<=50K', 'cg_0'), 'Private', 0.40808304158221237, 0.7283889711122075]
[('<40h', 'Private', 'cg_0'), '<=50K', 0.40808304158221237, 0.869178440607012]
[('<=50K', 'Private', 'cg_0'), '<40h', 0.40808304158221237, 0.7799495216293948]
[('<40h', '<=50K'), ('Private', 'cg_0'), 0.40808304158221237, 0.6995525138194262]
[('<40h', 'Private'), ('<=50K', 'cg_0'), 0.40808304158221237, 0.816316500798624]
[('<40h', 'cg_0'), ('<=50K', 'Private'), 0.40808304158221237, 0.6202679363301125]
[('<=50K', 'Private'), ('<40h', 'cg_0'), 0.40808304158221237, 0.7493373935600294]
[('<=50K', 'cg_0'), ('<40h', 'Private'), 0.40808304158221237, 0.5610301878826262]
[('Private', 'cg_0'), ('<40h', '<=50K'), 0.40808304158221237, 0.6338485021942377]
['<40h', ('<=50K', 'Private', 'cg_0'), 0.40808304158221237, 0.5782419495213229]
['<=50K', ('<40h', 'Private', 'cg_0'), 0.40808304158221237, 0.5375404530744337]
['Private', ('<40h', '<=50K', 'cg_0'), 0.40808304158221237, 0.5854776172012689]
['cg_0', ('<40h', '<=50K', 'Private'), 0.40808304158221237, 0.44517404268149685]
[('<40h', '<=50K', 'Private'), 'cl_0', 0.4126282169399914, 0.9737643136686477]
[('<40h', '<=50K', 'cl_0'), 'Private', 0.4126282169399914, 0.7281990136035987]
[('<40h', 'Private', 'cl_0'), '<=50K', 0.4126282169399914, 0.855741672504936]
[('<=50K', 'Private', 'cl_0'), '<40h', 0.4126282169399914, 0.7800290275761974]
[('<40h', '<=50K'), ('Private', 'cl_0'), 0.4126282169399914, 0.7073440379047118]
[('<40h', 'Private'), ('<=50K', 'cl_0'), 0.4126282169399914, 0.8254085268460499]
[('<40h', 'cl_0'), ('<=50K', 'Private'), 0.4126282169399914, 0.6085420535350333]
[('<=50K', 'Private'), ('<40h', 'cl_0'), 0.4126282169399914, 0.7576834151017876]
[('<=50K', 'cl_0'), ('<40h', 'Private'), 0.4126282169399914, 0.5604404771836156]
[('Private', 'cl_0'), ('<40h', '<=50K'), 0.4126282169399914, 0.6187712996223634]
['<40h', ('<=50K', 'Private', 'cl_0'), 0.4126282169399914, 0.5846823324630113]
['<=50K', ('<40h', 'Private', 'cl_0'), 0.4126282169399914, 0.5435275080906149]
['Private', ('<40h', '<=50K', 'cl_0'), 0.4126282169399914, 0.5919985900599225]
['cl_0', ('<40h', '<=50K', 'Private'), 0.4126282169399914, 0.4328329360221635]
[('<40h', 'HS-grad', 'Private'), 'United-States', 0.16390270867882809, 0.9112173467645552]
[('<40h', 'HS-grad', 'United-States'), 'Private', 0.16390270867882809, 0.7441438929168991]
[('<40h', 'Private', 'United-States'), 'HS-grad', 0.16390270867882809, 0.373922791284243]
[('HS-grad', 'Private', 'United-States'), '<40h', 0.16390270867882809, 0.7466424174594292]
[('<40h', 'HS-grad'), ('Private', 'United-States'), 0.16390270867882809, 0.6840553704178416]
[('<40h', 'Private'), ('HS-grad', 'United-States'), 0.16390270867882809, 0.327865831183192]
[('HS-grad', 'Private'), ('<40h', 'United-States'), 0.16390270867882809, 0.6859897172236504]
[('HS-grad', 'United-States'), ('<40h', 'Private'), 0.16390270867882809, 0.5500927643784786]
['HS-grad', ('<40h', 'Private', 'United-States'), 0.16390270867882809, 0.5082373107323112]
[('<40h', 'HS-grad', 'Private'), 'cg_0', 0.17007554818500092, 0.9455352569574867]
[('<40h', 'HS-grad', 'cg_0'), 'Private', 0.17007554818500092, 0.7560409556313993]
[('<40h', 'Private', 'cg_0'), 'HS-grad', 0.17007554818500092, 0.3622448979591837]
[('HS-grad', 'Private', 'cg_0'), '<40h', 0.17007554818500092, 0.7564540363338341]
[('<40h', 'HS-grad'), ('Private', 'cg_0'), 0.17007554818500092, 0.7098179953857985]
[('<40h', 'Private'), ('HS-grad', 'cg_0'), 0.17007554818500092, 0.3402137854773314]
[('HS-grad', 'Private'), ('<40h', 'cg_0'), 0.17007554818500092, 0.7118251928020566]
[('HS-grad', 'cg_0'), ('<40h', 'Private'), 0.17007554818500092, 0.5640660012222448]
['HS-grad', ('<40h', 'Private', 'cg_0'), 0.17007554818500092, 0.5273783449195315]
[('<40h', 'HS-grad', 'Private'), 'cl_0', 0.17459001289847062, 0.9706334300836605]
[('<40h', 'HS-grad', 'cl_0'), 'Private', 0.17459001289847062, 0.7539787798408488]
[('<40h', 'Private', 'cl_0'), 'HS-grad', 0.17459001289847062, 0.3620788484809885]
[('HS-grad', 'Private', 'cl_0'), '<40h', 0.17459001289847062, 0.7571923281832712]
[('<40h', 'HS-grad'), ('Private', 'cl_0'), 0.17459001289847062, 0.7286593181235581]
[('<40h', 'Private'), ('HS-grad', 'cl_0'), 0.17459001289847062, 0.3492443789163288]
[('HS-grad', 'Private'), ('<40h', 'cl_0'), 0.17459001289847062, 0.730719794344473]
[('HS-grad', 'cl_0'), ('<40h', 'Private'), 0.17459001289847062, 0.5629827688651218]
['HS-grad', ('<40h', 'Private', 'cl_0'), 0.17459001289847062, 0.5413770117131702]
[('<40h', 'HS-grad', 'United-States'), 'White', 0.18493950003071064, 0.839654210819855]
[('<40h', 'HS-grad', 'White'), 'United-States', 0.18493950003071064, 0.936547433903577]
[('<40h', 'United-States', 'White'), 'HS-grad', 0.18493950003071064, 0.3455954088952654]
[('HS-grad', 'United-States', 'White'), '<40h', 0.18493950003071064, 0.7182729007633588]
[('<40h', 'HS-grad'), ('United-States', 'White'), 0.18493950003071064, 0.7718533709305306]
[('<40h', 'White'), ('HS-grad', 'United-States'), 0.18493950003071064, 0.3160159529806885]
[('HS-grad', 'United-States'), ('<40h', 'White'), 0.18493950003071064, 0.6206967635539065]
[('HS-grad', 'White'), ('<40h', 'United-States'), 0.18493950003071064, 0.6763252470799641]
['HS-grad', ('<40h', 'United-States', 'White'), 0.18493950003071064, 0.5734691934101515]
[('<40h', 'HS-grad', 'United-States'), 'cg_0', 0.2066519255573982, 0.9382320133853876]
[('<40h', 'HS-grad', 'cg_0'), 'United-States', 0.2066519255573982, 0.9186348122866894]
[('<40h', 'United-States', 'cg_0'), 'HS-grad', 0.2066519255573982, 0.35417653560713724]
[('HS-grad', 'United-States', 'cg_0'), '<40h', 0.2066519255573982, 0.741978167383394]
[('<40h', 'HS-grad'), ('United-States', 'cg_0'), 0.2066519255573982, 0.8624711612407076]
[('<40h', 'United-States'), ('HS-grad', 'cg_0'), 0.2066519255573982, 0.32962672675614774]
[('<40h', 'cg_0'), ('HS-grad', 'United-States'), 0.2066519255573982, 0.31410166643327264]
[('HS-grad', 'United-States'), ('<40h', 'cg_0'), 0.2066519255573982, 0.6935683364254793]
[('HS-grad', 'cg_0'), ('<40h', 'United-States'), 0.2066519255573982, 0.6853738032185781]
['HS-grad', ('<40h', 'United-States', 'cg_0'), 0.2066519255573982, 0.640796114655747]
[('<40h', 'HS-grad', 'United-States'), 'cl_0', 0.21254836926478718, 0.9650027886224205]
[('<40h', 'HS-grad', 'cl_0'), 'United-States', 0.21254836926478718, 0.9179045092838196]
[('<40h', 'United-States', 'cl_0'), 'HS-grad', 0.21254836926478718, 0.35314828043677926]
[('HS-grad', 'United-States', 'cl_0'), '<40h', 0.21254836926478718, 0.7428356767199742]
[('<40h', 'HS-grad'), ('United-States', 'cl_0'), 0.21254836926478718, 0.8870802358369648]
[('<40h', 'United-States'), ('HS-grad', 'cl_0'), 0.21254836926478718, 0.33903203683746447]
[('<40h', 'cl_0'), ('HS-grad', 'United-States'), 0.21254836926478718, 0.3134652837537932]
[('HS-grad', 'United-States'), ('<40h', 'cl_0'), 0.21254836926478718, 0.7133580705009277]
[('HS-grad', 'cl_0'), ('<40h', 'United-States'), 0.21254836926478718, 0.6853832442067737]
['<40h', ('HS-grad', 'United-States', 'cl_0'), 0.21254836926478718, 0.30117493472584855]
['HS-grad', ('<40h', 'United-States', 'cl_0'), 0.21254836926478718, 0.6590800876107037]
[('<40h', 'HS-grad', 'White'), 'cg_0', 0.1846938148762361, 0.9353032659409021]
[('<40h', 'HS-grad', 'cg_0'), 'White', 0.1846938148762361, 0.821023890784983]
[('<40h', 'White', 'cg_0'), 'HS-grad', 0.1846938148762361, 0.3395246429176311]
[('HS-grad', 'White', 'cg_0'), '<40h', 0.1846938148762361, 0.7247529525186792]
[('<40h', 'HS-grad'), ('White', 'cg_0'), 0.1846938148762361, 0.7708279928223533]
[('<40h', 'White'), ('HS-grad', 'cg_0'), 0.1846938148762361, 0.31559613769941225]
[('HS-grad', 'White'), ('<40h', 'cg_0'), 0.1846938148762361, 0.6754267744833783]
[('HS-grad', 'cg_0'), ('<40h', 'White'), 0.1846938148762361, 0.6125483805255653]
['HS-grad', ('<40h', 'White', 'cg_0'), 0.1846938148762361, 0.5727073612036949]
[('<40h', 'HS-grad', 'White'), 'cl_0', 0.19059025858362508, 0.9651632970451011]
[('<40h', 'HS-grad', 'cl_0'), 'White', 0.19059025858362508, 0.823076923076923]
[('<40h', 'White', 'cl_0'), 'HS-grad', 0.19059025858362508, 0.33936676327445725]
[('HS-grad', 'White', 'cl_0'), '<40h', 0.19059025858362508, 0.7260177819372953]
[('<40h', 'HS-grad'), ('White', 'cl_0'), 0.19059025858362508, 0.7954370674186106]
[('<40h', 'White'), ('HS-grad', 'cl_0'), 0.19059025858362508, 0.32567170445004195]
[('HS-grad', 'White'), ('<40h', 'cl_0'), 0.19059025858362508, 0.6969901168014375]
[('HS-grad', 'cl_0'), ('<40h', 'White'), 0.19059025858362508, 0.6145771439889087]
['HS-grad', ('<40h', 'White', 'cl_0'), 0.19059025858362508, 0.5909913341586516]
[('<40h', 'HS-grad', 'cg_0'), 'cl_0', 0.2169092807567103, 0.9642320819112628]
[('<40h', 'HS-grad', 'cl_0'), 'cg_0', 0.2169092807567103, 0.936737400530504]
[('<40h', 'cg_0', 'cl_0'), 'HS-grad', 0.2169092807567103, 0.3441672351622649]
[('HS-grad', 'cg_0', 'cl_0'), '<40h', 0.2169092807567103, 0.7501858736059479]
[('<40h', 'HS-grad'), ('cg_0', 'cl_0'), 0.2169092807567103, 0.9052806972571136]
[('<40h', 'cg_0'), ('HS-grad', 'cl_0'), 0.2169092807567103, 0.32969238668720535]
[('<40h', 'cl_0'), ('HS-grad', 'cg_0'), 0.2169092807567103, 0.31989673445355316]
[('HS-grad', 'cg_0'), ('<40h', 'cl_0'), 0.2169092807567103, 0.7193929517213282]
[('HS-grad', 'cl_0'), ('<40h', 'cg_0'), 0.2169092807567103, 0.6994454347395523]
