=== RESULTS ===

Algorithm:	Apriori
Count:		486

Finished in 2.05 seconds['<40h', '<=50K', 0.583348688655488, 0.8265883376849434]
['<=50K', '<40h', 0.583348688655488, 0.768406148867314]
['<40h', 'United-States', 0.6269270929304097, 0.888337684943429]
['United-States', '<40h', 0.6269270929304097, 0.6998285910181693]
['<40h', 'White', 0.5852220379583564, 0.829242819843342]
['White', '<40h', 0.5852220379583564, 0.6850733390854185]
['<40h', 'cl_0', 0.6780603157054235, 0.9607919930374238]
['cl_0', '<40h', 0.6780603157054235, 0.7112621609432382]
['<=50K', 'United-States', 0.6756034641606781, 0.8899271844660194]
['United-States', '<=50K', 0.6756034641606781, 0.7541652382584847]
['<=50K', 'White', 0.6356796265585652, 0.8373381877022654]
['White', '<=50K', 0.6356796265585652, 0.7441400632729365]
['<=50K', 'cl_0', 0.7362569866715803, 0.969822006472492]
['cl_0', '<=50K', 0.7362569866715803, 0.7723084852780104]
['Male', 'United-States', 0.5984890362999816, 0.8943552088113814]
['United-States', 'Male', 0.5984890362999816, 0.6680836475831333]
['Male', 'White', 0.5888458939868558, 0.8799449288664525]
['White', 'Male', 0.5888458939868558, 0.6893155018694277]
['Male', 'cl_0', 0.6338676985443155, 0.9472234970169803]
['cl_0', 'Male', 0.6338676985443155, 0.6649056117518202]
['United-States', 'White', 0.7868374178490265, 0.8783339046966061]
['White', 'United-States', 0.7868374178490265, 0.9210885821110153]
['United-States', 'cl_0', 0.8534795160002456, 0.9527254028111073]
['cl_0', 'United-States', 0.8534795160002456, 0.8952709232652535]
['White', 'cl_0', 0.8129107548676371, 0.9516105838366408]
['cl_0', 'White', 0.8129107548676371, 0.8527156755363701]
['<40h', 'cg_0', 0.6579141330385111, 0.9322454308093995]
['cg_0', '<40h', 0.6579141330385111, 0.7177124861804416]
['<=50K', 'cg_0', 0.7273816104661875, 0.9581310679611651]
['cg_0', '<=50K', 0.7273816104661875, 0.7934939193942846]
['Male', 'cg_0', 0.6050304035378662, 0.9041303350160624]
['cg_0', 'Male', 0.6050304035378662, 0.6600221112935106]
['United-States', 'cg_0', 0.8199434924144708, 0.9152896811792938]
['cg_0', 'United-States', 0.8199434924144708, 0.894468826426346]
['White', 'cg_0', 0.7802653399668324, 0.9133951682484901]
['cg_0', 'White', 0.7802653399668324, 0.8511842942812154]
['cg_0', 'cl_0', 0.8700325532829679, 0.9491105229655935]
['cl_0', 'cg_0', 0.8700325532829679, 0.9126344952000516]
['<=50K', 'Private', 0.5445918555371292, 0.7173543689320389]
['Private', '<=50K', 0.5445918555371292, 0.7813271060979908]
['Private', 'United-States', 0.6183588231681101, 0.8871607331688404]
['United-States', 'Private', 0.6183588231681101, 0.6902639698320192]
['Private', 'White', 0.5959093421779988, 0.8549524145223828]
['White', 'Private', 0.5959093421779988, 0.6975841242450388]
['Private', 'cg_0', 0.6438179473005343, 0.9236869933027846]
['cg_0', 'Private', 0.6438179473005343, 0.7023350866025663]
['Private', 'cl_0', 0.6668509305325225, 0.9567324638702855]
['cl_0', 'Private', 0.6668509305325225, 0.69950389794472]
['cg_0', ('<40h', 'United-States', 'cl_0'), 0.558411645476322, 0.6091661362189688]
['cl_0', ('<40h', 'United-States', 'cg_0'), 0.558411645476322, 0.5857547838412474]
[('<40h', 'White', 'cg_0'), 'cl_0', 0.5203611571770775, 0.9565855586292553]
[('<40h', 'White', 'cl_0'), 'cg_0', 0.5203611571770775, 0.9265598512604583]
[('<40h', 'cg_0', 'cl_0'), 'White', 0.5203611571770775, 0.8256505213916773]
[('White', 'cg_0', 'cl_0'), '<40h', 0.5203611571770775, 0.7042101325796932]
[('<40h', 'White'), ('cg_0', 'cl_0'), 0.5203611571770775, 0.889168765743073]
[('<40h', 'cg_0'), ('White', 'cl_0'), 0.5203611571770775, 0.7909256406665733]
[('<40h', 'cl_0'), ('White', 'cg_0'), 0.5203611571770775, 0.7674260609629059]
[('White', 'cg_0'), ('<40h', 'cl_0'), 0.5203611571770775, 0.6669028220569134]
[('White', 'cl_0'), ('<40h', 'cg_0'), 0.5203611571770775, 0.6401208915753683]
[('cg_0', 'cl_0'), ('<40h', 'White'), 0.5203611571770775, 0.5980938933992235]
['<40h', ('White', 'cg_0', 'cl_0'), 0.5203611571770775, 0.7373368146214099]
['White', ('<40h', 'cg_0', 'cl_0'), 0.5203611571770775, 0.6091458153580673]
['cg_0', ('<40h', 'White', 'cl_0'), 0.5203611571770775, 0.5676572079466649]
['cl_0', ('<40h', 'White', 'cg_0'), 0.5203611571770775, 0.5458411184846337]
[('<=50K', 'United-States', 'White'), 'cg_0', 0.5557705300657207, 0.9566527462071153]
[('<=50K', 'United-States', 'cg_0'), 'White', 0.5557705300657207, 0.8589804442756788]
[('<=50K', 'White', 'cg_0'), 'United-States', 0.5557705300657207, 0.9139437402151407]
[('United-States', 'White', 'cg_0'), '<=50K', 0.5557705300657207, 0.7744019855363944]
[('<=50K', 'United-States'), ('White', 'cg_0'), 0.5557705300657207, 0.8226283012864221]
[('<=50K', 'White'), ('United-States', 'cg_0'), 0.5557705300657207, 0.8742934441277357]
[('<=50K', 'cg_0'), ('United-States', 'White'), 0.5557705300657207, 0.7640700865526705]
[('United-States', 'White'), ('<=50K', 'cg_0'), 0.5557705300657207, 0.7063346473595878]
[('United-States', 'cg_0'), ('<=50K', 'White'), 0.5557705300657207, 0.677815648526162]
[('White', 'cg_0'), ('<=50K', 'United-States'), 0.5557705300657207, 0.7122840162160035]
['<=50K', ('United-States', 'White', 'cg_0'), 0.5557705300657207, 0.73207928802589]
['United-States', ('<=50K', 'White', 'cg_0'), 0.5557705300657207, 0.6203976688378471]
['White', ('<=50K', 'United-States', 'cg_0'), 0.5557705300657207, 0.6505967788323267]
['cg_0', ('<=50K', 'United-States', 'White'), 0.5557705300657207, 0.6062849676706087]
[('<=50K', 'United-States', 'cg_0'), 'cl_0', 0.6263128800442234, 0.9680083539016517]
[('<=50K', 'United-States', 'cl_0'), 'cg_0', 0.6263128800442234, 0.9563423212192262]
[('<=50K', 'cg_0', 'cl_0'), 'United-States', 0.6263128800442234, 0.8890535768778064]
[('United-States', 'cg_0', 'cl_0'), '<=50K', 0.6263128800442234, 0.8054502369668246]
[('<=50K', 'United-States'), ('cg_0', 'cl_0'), 0.6263128800442234, 0.9270421382790127]
[('<=50K', 'cg_0'), ('United-States', 'cl_0'), 0.6263128800442234, 0.861051298290057]
[('<=50K', 'cl_0'), ('United-States', 'cg_0'), 0.6263128800442234, 0.8506715608575958]
[('United-States', 'cg_0'), ('<=50K', 'cl_0'), 0.6263128800442234, 0.7638488332896363]
[('United-States', 'cl_0'), ('<=50K', 'cg_0'), 0.6263128800442234, 0.7338346946853298]
[('cg_0', 'cl_0'), ('<=50K', 'United-States'), 0.6263128800442234, 0.7198729262266149]
['<=50K', ('United-States', 'cg_0', 'cl_0'), 0.6263128800442234, 0.825]
['United-States', ('<=50K', 'cg_0', 'cl_0'), 0.6263128800442234, 0.6991429550908468]
['cg_0', ('<=50K', 'United-States', 'cl_0'), 0.6263128800442234, 0.6832389694797145]
['cl_0', ('<=50K', 'United-States', 'cg_0'), 0.6263128800442234, 0.6569808646350106]
[('<=50K', 'White', 'cg_0'), 'cl_0', 0.5884466556108348, 0.967678400080804]
[('<=50K', 'White', 'cl_0'), 'cg_0', 0.5884466556108348, 0.9552320654070492]
[('<=50K', 'cg_0', 'cl_0'), 'White', 0.5884466556108348, 0.8353023235537731]
[('White', 'cg_0', 'cl_0'), '<=50K', 0.5884466556108348, 0.7963509413573833]
[('<=50K', 'White'), ('cg_0', 'cl_0'), 0.5884466556108348, 0.9256968935697377]
[('<=50K', 'cg_0'), ('White', 'cl_0'), 0.5884466556108348, 0.8089930335655479]
[('<=50K', 'cl_0'), ('White', 'cg_0'), 0.5884466556108348, 0.7992408442479353]
[('White', 'cg_0'), ('<=50K', 'cl_0'), 0.5884466556108348, 0.7541622387530995]
[('White', 'cl_0'), ('<=50K', 'cg_0'), 0.5884466556108348, 0.7238760861352475]
[('cg_0', 'cl_0'), ('<=50K', 'White'), 0.5884466556108348, 0.6763501588422167]
['<=50K', ('White', 'cg_0', 'cl_0'), 0.5884466556108348, 0.7751213592233009]
['White', ('<=50K', 'cg_0', 'cl_0'), 0.5884466556108348, 0.6888481449525453]
['cg_0', ('<=50K', 'White', 'cl_0'), 0.5884466556108348, 0.6419310529665986]
['cl_0', ('<=50K', 'White', 'cg_0'), 0.5884466556108348, 0.6172604857934412]
[('Male', 'United-States', 'cg_0'), 'cl_0', 0.5081383207419692, 0.9408620493574434]
[('Male', 'United-States', 'cl_0'), 'cg_0', 0.5081383207419692, 0.8968993928881179]
[('Male', 'cg_0', 'cl_0'), 'United-States', 0.5081383207419692, 0.8919195730688373]
[('United-States', 'cg_0', 'cl_0'), 'Male', 0.5081383207419692, 0.65347551342812]
[('Male', 'United-States'), ('cg_0', 'cl_0'), 0.5081383207419692, 0.8490353037766831]
[('Male', 'cg_0'), ('United-States', 'cl_0'), 0.5081383207419692, 0.8398558448809705]
[('Male', 'cl_0'), ('United-States', 'cg_0'), 0.5081383207419692, 0.8016472868217054]
[('United-States', 'cg_0'), ('Male', 'cl_0'), 0.5081383207419692, 0.619723585153002]
[('United-States', 'cl_0'), ('Male', 'cg_0'), 0.5081383207419692, 0.5953726026411428]
[('cg_0', 'cl_0'), ('Male', 'United-States'), 0.5081383207419692, 0.5840451817860924]
['Male', ('United-States', 'cg_0', 'cl_0'), 0.5081383207419692, 0.75933914639743]
['United-States', ('Male', 'cg_0', 'cl_0'), 0.5081383207419692, 0.5672266026739801]
['cg_0', ('Male', 'United-States', 'cl_0'), 0.5081383207419692, 0.5543234279205334]
['cl_0', ('Male', 'United-States', 'cg_0'), 0.5081383207419692, 0.5330197796533729]
[('United-States', 'White', 'cg_0'), 'cl_0', 0.6786131073029912, 0.9455689160854123]
[('United-States', 'White', 'cl_0'), 'cg_0', 0.6786131073029912, 0.9075116021191836]
[('United-States', 'cg_0', 'cl_0'), 'White', 0.6786131073029912, 0.8727093206951027]
[('White', 'cg_0', 'cl_0'), 'United-States', 0.6786131073029912, 0.9183741324134491]
[('United-States', 'White'), ('cg_0', 'cl_0'), 0.6786131073029912, 0.8624565785878772]
[('United-States', 'cg_0'), ('White', 'cl_0'), 0.6786131073029912, 0.8276339937825387]
[('United-States', 'cl_0'), ('White', 'cg_0'), 0.6786131073029912, 0.7951135259616423]
[('White', 'cg_0'), ('United-States', 'cl_0'), 0.6786131073029912, 0.8697209430471917]
[('White', 'cl_0'), ('United-States', 'cg_0'), 0.6786131073029912, 0.8347941065357007]
[('cg_0', 'cl_0'), ('United-States', 'White'), 0.6786131073029912, 0.779985880691846]
['United-States', ('White', 'cg_0', 'cl_0'), 0.6786131073029912, 0.7575248543023655]
['White', ('United-States', 'cg_0', 'cl_0'), 0.6786131073029912, 0.7943989071038251]
['cg_0', ('United-States', 'White', 'cl_0'), 0.6786131073029912, 0.7402928071292171]
['cl_0', ('United-States', 'White', 'cg_0'), 0.6786131073029912, 0.7118420204883706]
[('<=50K', 'Private', 'cg_0'), 'cl_0', 0.5076162397887107, 0.9701825438750954]
[('<=50K', 'Private', 'cl_0'), 'cg_0', 0.5076162397887107, 0.9595936139332366]
[('<=50K', 'cg_0', 'cl_0'), 'Private', 0.5076162397887107, 0.7205632329220978]
[('Private', 'cg_0', 'cl_0'), '<=50K', 0.5076162397887107, 0.8271944750275247]
[('<=50K', 'Private'), ('cg_0', 'cl_0'), 0.5076162397887107, 0.9321039869170473]
[('<=50K', 'cg_0'), ('Private', 'cl_0'), 0.5076162397887107, 0.6978678488494828]
[('<=50K', 'cl_0'), ('Private', 'cg_0'), 0.5076162397887107, 0.6894552431801118]
[('Private', 'cg_0'), ('<=50K', 'cl_0'), 0.5076162397887107, 0.7884468612860142]
[('Private', 'cl_0'), ('<=50K', 'cg_0'), 0.5076162397887107, 0.761213963341623]
[('cg_0', 'cl_0'), ('<=50K', 'Private'), 0.5076162397887107, 0.5834451111895517]
['<=50K', ('Private', 'cg_0', 'cl_0'), 0.5076162397887107, 0.6686488673139158]
['Private', ('<=50K', 'cg_0', 'cl_0'), 0.5076162397887107, 0.7282781106802961]
['cg_0', ('<=50K', 'Private', 'cl_0'), 0.5076162397887107, 0.5537538946028343]
['cl_0', ('<=50K', 'Private', 'cg_0'), 0.5076162397887107, 0.5324721345274145]
[('Private', 'United-States', 'White'), 'cl_0', 0.518856335605921, 0.9530121841155235]
[('Private', 'United-States', 'cl_0'), 'White', 0.518856335605921, 0.8782554452357436]
[('Private', 'White', 'cl_0'), 'United-States', 0.518856335605921, 0.9118631260794473]
[('United-States', 'White', 'cl_0'), 'Private', 0.518856335605921, 0.6938683313483099]
[('Private', 'United-States'), ('White', 'cl_0'), 0.518856335605921, 0.8390861683635461]
[('Private', 'White'), ('United-States', 'cl_0'), 0.518856335605921, 0.8706967635539065]
[('Private', 'cl_0'), ('United-States', 'White'), 0.518856335605921, 0.7780694482822142]
[('United-States', 'White'), ('Private', 'cl_0'), 0.518856335605921, 0.6594200070254869]
[('United-States', 'cl_0'), ('Private', 'White'), 0.518856335605921, 0.6079306250224893]
[('White', 'cl_0'), ('Private', 'United-States'), 0.518856335605921, 0.6382697393275406]
['Private', ('United-States', 'White', 'cl_0'), 0.518856335605921, 0.7444043003172365]
['United-States', ('Private', 'White', 'cl_0'), 0.518856335605921, 0.5791909496057593]
['White', ('Private', 'United-States', 'cl_0'), 0.518856335605921, 0.6073842392867415]
['cl_0', ('Private', 'United-States', 'White'), 0.518856335605921, 0.5442626119451066]
[('Private', 'United-States', 'cg_0'), 'cl_0', 0.542349978502549, 0.951611164996228]
[('Private', 'United-States', 'cl_0'), 'cg_0', 0.542349978502549, 0.9180225606903363]
[('Private', 'cg_0', 'cl_0'), 'United-States', 0.542349978502549, 0.8837954158742869]
[('United-States', 'cg_0', 'cl_0'), 'Private', 0.542349978502549, 0.6974723538704581]
[('Private', 'United-States'), ('cg_0', 'cl_0'), 0.542349978502549, 0.8770797119443755]
[('Private', 'cg_0'), ('United-States', 'cl_0'), 0.542349978502549, 0.8423964892196146]
[('Private', 'cl_0'), ('United-States', 'cg_0'), 0.542349978502549, 0.8133001750023027]
[('United-States', 'cg_0'), ('Private', 'cl_0'), 0.542349978502549, 0.6614479943069029]
[('United-States', 'cl_0'), ('Private', 'cg_0'), 0.542349978502549, 0.6354575222194235]
[('cg_0', 'cl_0'), ('Private', 'United-States'), 0.542349978502549, 0.6233674549947053]
['Private', ('United-States', 'cg_0', 'cl_0'), 0.542349978502549, 0.7781106802960874]
['United-States', ('Private', 'cg_0', 'cl_0'), 0.542349978502549, 0.6054165238258484]
['cg_0', ('Private', 'United-States', 'cl_0'), 0.542349978502549, 0.5916446112097558]
['cl_0', ('Private', 'United-States', 'cg_0'), 0.542349978502549, 0.5689066426132336]
[('Private', 'White', 'cg_0'), 'cl_0', 0.5217124255266875, 0.9509628302731751]
[('Private', 'White', 'cl_0'), 'cg_0', 0.5217124255266875, 0.9168825561312608]
[('Private', 'cg_0', 'cl_0'), 'White', 0.5217124255266875, 0.8501651486337704]
[('White', 'cg_0', 'cl_0'), 'Private', 0.5217124255266875, 0.7060388180042392]
[('Private', 'White'), ('cg_0', 'cl_0'), 0.5217124255266875, 0.8754895897753041]
[('Private', 'cg_0'), ('White', 'cl_0'), 0.5217124255266875, 0.8103415378744514]
[('Private', 'cl_0'), ('White', 'cg_0'), 0.5217124255266875, 0.782352399373676]
[('White', 'cg_0'), ('Private', 'cl_0'), 0.5217124255266875, 0.6686346282520566]
[('White', 'cl_0'), ('Private', 'cg_0'), 0.5217124255266875, 0.641783150736683]
[('cg_0', 'cl_0'), ('Private', 'White'), 0.5217124255266875, 0.5996470172961524]
['Private', ('White', 'cg_0', 'cl_0'), 0.5217124255266875, 0.7485019386676066]
['White', ('Private', 'cg_0', 'cl_0'), 0.5217124255266875, 0.6107276387690538]
['cg_0', ('Private', 'White', 'cl_0'), 0.5217124255266875, 0.5691312941807096]
['cl_0', ('Private', 'White', 'cg_0'), 0.5217124255266875, 0.5472585529282907]
[('<=50K', 'United-States', 'White', 'cg_0'), 'cl_0', 0.537221300902893, 0.9666243023705586]
[('<=50K', 'United-States', 'White', 'cl_0'), 'cg_0', 0.537221300902893, 0.9552230655818271]
[('<=50K', 'United-States', 'cg_0', 'cl_0'), 'White', 0.537221300902893, 0.8577522800823771]
[('<=50K', 'White', 'cg_0', 'cl_0'), 'United-States', 0.537221300902893, 0.9129481759824644]
[('United-States', 'White', 'cg_0', 'cl_0'), '<=50K', 0.537221300902893, 0.79164592478617]
[('<=50K', 'United-States', 'White'), ('cg_0', 'cl_0'), 0.537221300902893, 0.9247237934133319]
[('<=50K', 'United-States', 'cg_0'), ('White', 'cl_0'), 0.537221300902893, 0.8303113726979305]
[('<=50K', 'United-States', 'cl_0'), ('White', 'cg_0'), 0.537221300902893, 0.8203048065650644]
[('<=50K', 'White', 'cg_0'), ('United-States', 'cl_0'), 0.537221300902893, 0.8834402302913994]
[('<=50K', 'White', 'cl_0'), ('United-States', 'cg_0'), 0.537221300902893, 0.8720773717533277]
[('<=50K', 'cg_0', 'cl_0'), ('United-States', 'White'), 0.537221300902893, 0.7625877326823314]
[('United-States', 'White', 'cg_0'), ('<=50K', 'cl_0'), 0.537221300902893, 0.7485557790234927]
[('United-States', 'White', 'cl_0'), ('<=50K', 'cg_0'), 0.537221300902893, 0.7184278615138199]
[('United-States', 'cg_0', 'cl_0'), ('<=50K', 'White'), 0.537221300902893, 0.6908767772511848]
[('White', 'cg_0', 'cl_0'), ('<=50K', 'United-States'), 0.537221300902893, 0.7270271393541415]
[('<=50K', 'United-States'), ('White', 'cg_0', 'cl_0'), 0.537221300902893, 0.7951725078412655]
[('<=50K', 'White'), ('United-States', 'cg_0', 'cl_0'), 0.537221300902893, 0.8451132904971255]
[('<=50K', 'cg_0'), ('United-States', 'White', 'cl_0'), 0.537221300902893, 0.7385687143761874]
[('<=50K', 'cl_0'), ('United-States', 'White', 'cg_0'), 0.537221300902893, 0.7296654709268374]
[('United-States', 'White'), ('<=50K', 'cg_0', 'cl_0'), 0.537221300902893, 0.6827602357441162]
[('United-States', 'cg_0'), ('<=50K', 'White', 'cl_0'), 0.537221300902893, 0.6551930783924491]
[('United-States', 'cl_0'), ('<=50K', 'White', 'cg_0'), 0.537221300902893, 0.6294483825698968]
[('White', 'cg_0'), ('<=50K', 'United-States', 'cl_0'), 0.537221300902893, 0.6885110402644941]
[('White', 'cl_0'), ('<=50K', 'United-States', 'cg_0'), 0.537221300902893, 0.6608613524744994]
[('cg_0', 'cl_0'), ('<=50K', 'United-States', 'White'), 0.537221300902893, 0.6174726438404519]
['<=50K', ('United-States', 'White', 'cg_0', 'cl_0'), 0.537221300902893, 0.7076456310679612]
['United-States', ('<=50K', 'White', 'cg_0', 'cl_0'), 0.537221300902893, 0.5996914638327049]
['White', ('<=50K', 'United-States', 'cg_0', 'cl_0'), 0.537221300902893, 0.6288826574633305]
['cg_0', ('<=50K', 'United-States', 'White', 'cl_0'), 0.537221300902893, 0.5860497839123588]
['cl_0', ('<=50K', 'United-States', 'White', 'cg_0'), 0.537221300902893, 0.5635268346111719]
